2	2	1	1
3	3	1	2
4	4	1	1
5	5	1	1
6	6	1	1
7	7	1	1
8	8	1	1
9	9	1	2
10	10	1	1
11	11	1	1
12	12	1	1
13	13	1	0
14	14	1	1
15	15	1	1
16	16	1	1
17	17	1	2
18	18	1	2
19	19	1	2
20	20	1	2
21	21	1	1
22	22	1	1
23	23	1	1
24	24	1	1
25	25	1	1
26	26	1	1
27	27	1	2
28	28	1	1
29	29	1	1
30	30	1	1
31	1	6	0
32	2	6	0
33	3	6	2
34	4	6	1
35	5	6	0
36	6	6	1
37	7	6	1
38	8	6	1
39	9	6	0
40	10	6	0
41	11	6	1
42	12	6	2
43	13	6	1
44	14	6	1
45	15	6	0
46	16	6	0
47	17	6	2
48	18	6	2
49	19	6	2
50	20	6	2
51	21	6	2
52	22	6	2
53	23	6	1
54	24	6	1
55	25	6	1
56	26	6	1
57	27	6	1
58	28	6	1
59	29	6	1
60	30	6	1
61	1	4	0
62	2	4	0
63	3	4	2
64	4	4	0
65	5	4	0
66	6	4	1
67	7	4	1
68	8	4	0
69	9	4	1
70	10	4	1
71	11	4	2
72	12	4	2
73	13	4	0
74	14	4	0
75	15	4	0
76	16	4	0
77	17	4	2
78	18	4	2
79	19	4	2
80	20	4	2
81	21	4	2
82	22	4	2
83	23	4	1
84	24	4	1
85	25	4	1
86	26	4	1
87	27	4	1
88	28	4	1
89	29	4	1
90	30	4	1
91	1	18	0
92	2	18	0
94	4	18	0
95	5	18	0
96	6	18	0
97	7	18	0
98	8	18	0
99	9	18	2
100	10	18	2
103	13	18	0
104	14	18	0
105	15	18	0
106	16	18	0
107	17	18	2
108	18	18	2
109	19	18	2
110	20	18	2
111	21	18	2
112	22	18	2
113	23	18	1
114	24	18	1
116	26	18	1
118	28	18	1
119	29	18	1
120	30	18	1
121	1	14	1
122	2	14	1
123	3	14	2
124	4	14	1
125	5	14	0
126	6	14	0
127	7	14	2
128	8	14	0
129	9	14	1
130	10	14	1
131	11	14	0
132	12	14	1
133	13	14	0
134	14	14	1
135	15	14	0
136	16	14	2
137	17	14	2
138	18	14	2
139	19	14	2
140	20	14	1
141	21	14	0
142	22	14	0
143	23	14	0
144	24	14	0
145	25	14	1
146	26	14	0
147	27	14	1
148	28	14	1
149	29	14	1
150	30	14	1
151	1	15	0
152	2	15	0
153	3	15	2
154	4	15	1
155	5	15	0
156	6	15	0
157	7	15	2
158	8	15	1
159	9	15	1
160	10	15	1
161	11	15	0
162	12	15	0
163	13	15	0
164	14	15	0
165	15	15	0
166	16	15	0
167	17	15	0
168	18	15	1
169	19	15	1
170	20	15	2
171	21	15	2
172	22	15	1
173	23	15	1
174	24	15	1
175	25	15	0
176	26	15	0
177	27	15	0
178	28	15	0
179	29	15	0
180	30	15	0
181	1	16	0
182	2	16	0
183	3	16	2
184	4	16	0
185	5	16	0
1	1	1	1
186	6	16	0
187	7	16	0
188	8	16	0
189	9	16	1
190	10	16	1
191	11	16	0
192	12	16	0
193	13	16	0
194	14	16	0
195	15	16	0
196	16	16	0
197	17	16	1
198	18	16	1
199	19	16	1
200	20	16	1
201	21	16	0
202	22	16	0
203	23	16	0
204	24	16	2
205	25	16	2
206	26	16	0
207	27	16	2
208	28	16	0
209	29	16	0
210	30	16	0
211	1	17	0
212	2	17	0
213	3	17	2
214	4	17	0
215	5	17	0
216	6	17	0
217	7	17	0
218	8	17	0
219	9	17	1
220	10	17	1
221	11	17	0
222	12	17	0
223	13	17	0
224	14	17	0
225	15	17	0
226	16	17	0
227	17	17	0
228	18	17	0
229	19	17	0
230	20	17	0
231	21	17	0
232	22	17	0
233	23	17	0
234	24	17	1
235	25	17	1
236	26	17	0
237	27	17	1
238	28	17	2
239	29	17	2
240	30	17	2
241	1	9	1
242	2	9	1
243	3	9	1
244	4	9	1
245	5	9	1
246	6	9	1
247	7	9	1
248	8	9	1
249	9	9	2
250	10	9	2
251	11	9	1
252	12	9	1
253	13	9	1
254	14	9	1
255	15	9	0
256	16	9	1
257	17	9	2
258	18	9	2
259	19	9	2
260	20	9	2
261	21	9	2
262	22	9	2
263	23	9	1
264	24	9	2
265	25	9	2
266	26	9	1
267	27	9	2
268	28	9	1
269	29	9	1
270	30	9	1
271	1	7	2
272	2	7	2
273	3	7	0
274	4	7	1
275	5	7	1
276	6	7	1
277	7	7	1
278	8	7	1
279	9	7	2
280	10	7	2
281	11	7	1
282	12	7	1
283	13	7	1
284	14	7	1
285	15	7	0
286	16	7	1
287	17	7	2
288	18	7	2
289	19	7	2
290	20	7	2
291	21	7	1
292	22	7	1
293	23	7	1
294	24	7	2
295	25	7	1
296	26	7	2
297	27	7	1
298	28	7	1
299	29	7	1
300	30	7	1
301	1	8	0
302	2	8	0
303	3	8	0
304	4	8	1
305	5	8	2
306	6	8	1
307	7	8	1
308	8	8	1
309	9	8	2
310	10	8	2
311	11	8	1
312	12	8	1
313	13	8	1
314	14	8	1
315	15	8	0
316	16	8	1
317	17	8	1
318	18	8	1
319	19	8	1
320	20	8	1
321	21	8	1
322	22	8	1
323	23	8	1
324	24	8	1
325	25	8	1
326	26	8	0
327	27	8	1
328	28	8	0
329	29	8	0
330	30	8	0
331	1	10	0
332	2	10	0
333	3	10	2
334	4	10	0
335	5	10	1
336	6	10	0
337	7	10	2
338	8	10	0
339	9	10	2
340	10	10	2
341	11	10	1
342	12	10	1
343	13	10	0
344	14	10	0
345	15	10	2
